,fi
minute,0.005102424881869187
angle,0.004797508531550032
distance,0.004539386341056106
interveningOpponents,0.004001781632045393
second,0.003055562941104999
bodyPart_سایر,0.002500486160278403
bodyPart_پا,0.0007187889429947636
interferenceOnShooter_کم,0.0004763881298411295
interferenceOnShooter_متوسط,0.00042932370101075347
interveningTeammates,0.00030448177754502175
playType_جریان بازی,0.0002414163590422659
playType_ضربه آزاد مستقیم,0.0001826401198578055
playType_پنالتی,5.426893256647858e-05
bodyPart_سر,1.6817503134454806e-05
playType_مستقیم از کرنر,1.7109941608524186e-06
interferenceOnShooter_زیاد,1.259357609417755e-06
